0.0,0.0,0.0,0.0
0.07,-0.07,-0.07,0.07
0.14,-0.14,-0.14,0.14
0.209,-0.209,-0.209,0.209
0.279,-0.279,-0.279,0.279
0.349,-0.349,-0.349,0.349
0.419,-0.419,-0.419,0.419
0.489,-0.489,-0.489,0.489
0.559,-0.559,-0.559,0.559
0.628,-0.628,-0.628,0.628
0.698,-0.698,-0.698,0.698
0.759,-0.759,-0.759,0.759
0.82,-0.82,-0.82,0.82
0.881,-0.881,-0.881,0.881
0.942,-0.942,-0.942,0.942
1.004,-1.004,-1.004,1.004
1.065,-1.065,-1.065,1.065
1.126,-1.126,-1.126,1.126
1.187,-1.187,-1.187,1.187
1.248,-1.248,-1.248,1.248
1.309,-1.309,-1.309,1.309
1.265,-1.208,-1.251,1.265
1.222,-1.107,-1.194,1.222
1.178,-1.005,-1.136,1.178
1.134,-0.904,-1.079,1.134
1.091,-0.803,-1.021,1.091
1.047,-0.702,-0.963,1.047
1.004,-0.6,-0.906,1.004
0.96,-0.499,-0.848,0.96
0.916,-0.398,-0.791,0.916
0.873,-0.297,-0.733,0.873
0.855,-0.197,-0.677,0.855
0.838,-0.098,-0.621,0.838
0.82,0.002,-0.565,0.82
0.803,0.101,-0.51,0.803
0.785,0.201,-0.454,0.785
0.768,0.3,-0.398,0.768
0.75,0.4,-0.342,0.75
0.733,0.499,-0.286,0.733
0.716,0.599,-0.23,0.716
0.698,0.698,-0.175,0.698
0.663,0.559,-0.122,0.716
0.628,0.419,-0.07,0.733
0.593,0.279,-0.017,0.75
0.559,0.14,0.035,0.768
0.524,0.0,0.087,0.785
0.489,-0.14,0.14,0.803
0.454,-0.279,0.192,0.82
0.419,-0.419,0.244,0.838
0.384,-0.559,0.297,0.855
0.349,-0.698,0.349,0.873
0.349,-0.785,0.471,0.785
0.349,-0.873,0.593,0.698
0.349,-0.96,0.716,0.611
0.349,-1.047,0.838,0.524
0.349,-1.134,0.96,0.436
0.349,-1.222,1.082,0.349
0.349,-1.309,1.204,0.262
0.349,-1.396,1.326,0.175
0.349,-1.484,1.449,0.087
0.349,-1.571,1.571,0.0
0.349,-1.658,1.693,-0.087
0.349,-1.745,1.815,-0.175
0.349,-1.833,1.937,-0.262
0.349,-1.92,2.059,-0.349
0.349,-2.007,2.182,-0.436
0.349,-2.094,2.304,-0.524
0.349,-2.182,2.426,-0.611
0.349,-2.269,2.548,-0.698
0.349,-2.356,2.67,-0.785
0.349,-2.443,2.793,-0.873
0.332,-2.513,2.827,-0.873
0.314,-2.583,2.862,-0.873
0.297,-2.653,2.897,-0.873
0.279,-2.723,2.932,-0.873
0.262,-2.793,2.967,-0.873
0.244,-2.862,3.002,-0.873
0.227,-2.932,3.037,-0.873
0.209,-3.002,3.072,-0.873
0.192,-3.072,3.107,-0.873
0.175,-3.142,3.142,-0.873
0.157,-3.142,3.142,-0.785
0.14,-3.142,3.142,-0.698
0.122,-3.142,3.142,-0.611
0.105,-3.142,3.142,-0.524
0.087,-3.142,3.142,-0.436
0.07,-3.142,3.142,-0.349
0.052,-3.142,3.142,-0.262
0.035,-3.142,3.142,-0.175
0.017,-3.142,3.142,-0.087
0.0,-3.142,3.142,0.0
0.07,-3.211,3.072,0.07
0.14,-3.281,3.002,0.14
0.209,-3.351,2.932,0.209
0.279,-3.421,2.862,0.279
0.349,-3.491,2.793,0.349
0.419,-3.56,2.723,0.419
0.489,-3.63,2.653,0.489
0.559,-3.7,2.583,0.559
0.628,-3.77,2.513,0.628
0.698,-3.84,2.443,0.698
0.759,-3.901,2.382,0.759
0.82,-3.962,2.321,0.82
0.881,-4.023,2.26,0.881
0.942,-4.084,2.199,0.942
1.004,-4.145,2.138,1.004
1.065,-4.206,2.077,1.065
1.126,-4.267,2.016,1.126
1.187,-4.328,1.955,1.187
1.248,-4.39,1.894,1.248
1.309,-4.451,1.833,1.309
1.265,-4.393,1.934,1.265
1.222,-4.335,2.035,1.222
1.178,-4.278,2.136,1.178
1.134,-4.22,2.238,1.134
1.091,-4.163,2.339,1.091
1.047,-4.105,2.44,1.047
1.004,-4.047,2.541,1.004
0.96,-3.99,2.642,0.96
0.916,-3.932,2.744,0.916
0.873,-3.875,2.845,0.873
0.855,-3.819,2.944,0.855
0.838,-3.763,3.044,0.838
0.82,-3.707,3.143,0.82
0.803,-3.651,3.243,0.803
0.785,-3.595,3.342,0.785
0.768,-3.54,3.442,0.768
0.75,-3.484,3.541,0.75
0.733,-3.428,3.641,0.733
0.716,-3.372,3.74,0.716
0.698,-3.316,3.84,0.698
0.716,-3.264,3.7,0.663
0.733,-3.211,3.56,0.628
0.75,-3.159,3.421,0.593
0.768,-3.107,3.281,0.559
0.785,-3.054,3.142,0.524
0.803,-3.002,3.002,0.489
0.82,-2.95,2.862,0.454
0.838,-2.897,2.723,0.419
0.855,-2.845,2.583,0.384
0.873,-2.793,2.443,0.349
0.785,-2.67,2.356,0.349
0.698,-2.548,2.269,0.349
0.611,-2.426,2.182,0.349
0.524,-2.304,2.094,0.349
0.436,-2.182,2.007,0.349
0.349,-2.059,1.92,0.349
0.262,-1.937,1.833,0.349
0.175,-1.815,1.745,0.349
0.087,-1.693,1.658,0.349
0.0,-1.571,1.571,0.349
-0.087,-1.449,1.484,0.349
-0.175,-1.326,1.396,0.349
-0.262,-1.204,1.309,0.349
-0.349,-1.082,1.222,0.349
-0.436,-0.96,1.134,0.349
-0.524,-0.838,1.047,0.349
-0.611,-0.716,0.96,0.349
-0.698,-0.593,0.873,0.349
-0.785,-0.471,0.785,0.349
-0.873,-0.349,0.698,0.349
-0.873,-0.314,0.628,0.332
-0.873,-0.279,0.559,0.314
-0.873,-0.244,0.489,0.297
-0.873,-0.209,0.419,0.279
-0.873,-0.175,0.349,0.262
-0.873,-0.14,0.279,0.244
-0.873,-0.105,0.209,0.227
-0.873,-0.07,0.14,0.209
-0.873,-0.035,0.07,0.192
-0.873,0.0,0.0,0.175
-0.785,0.0,0.0,0.157
-0.698,0.0,0.0,0.14
-0.611,0.0,0.0,0.122
-0.524,0.0,0.0,0.105
-0.436,0.0,0.0,0.087
-0.349,0.0,0.0,0.07
-0.262,0.0,0.0,0.052
-0.175,0.0,0.0,0.035
-0.087,0.0,0.0,0.017
0,0,0,0
